tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20061211061346,train,4,0.4866,2006,2,36,43,49,1440,0.316,0.1042,0.0,0.0,0.0,0.0139,0.0278,0.0917,0.0194,0.0069,0.1021,0.0,0.0,0.2076,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.0,0.0,0.0583,0.0
20180112170859,train,4,0.4854,2018,1,38,40,30,1440,0.2917,0.0,0.0083,0.5431,0.0,0.059,0.0104,0.0,0.0104,0.0069,0.0208,0.0,0.0,0.0035,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0319,0.0035
20090807091221,train,4,0.3795,2009,2,45,43,54,1440,0.0938,0.2431,0.0,0.0,0.0,0.0139,0.0507,0.1403,0.0764,0.0417,0.0938,0.0,0.0,0.1778,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0479,0.0
20160112151377,train,4,0.4485,2016,2,39,39,32,1440,0.2812,0.0417,0.0,0.2521,0.0,0.0764,0.0208,0.0417,0.1146,0.0,0.0208,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0049
20120806121984,train,4,0.3701,2012,2,45,44,32,1440,0.0625,0.1667,0.0,0.0,0.0,0.0208,0.0486,0.0,0.0,0.0799,0.0,0.0,0.0938,0.0208,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,0.0208
20200302201355,train,4,0.4858,2020,1,31,41,33,1440,0.3403,0.0326,0.0,0.3174,0.0,0.066,0.0347,0.0139,0.0326,0.0021,0.0486,0.0,0.0104,0.0042,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0139,0.0,0.0472,0.0035
20030112021793,train,4,0.3519,2003,1,18,37,33,1440,0.2201,0.2146,0.0,0.2639,0.0,0.0104,0.0215,0.0,0.0,0.0208,0.0,0.0021,0.125,0.0035,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.1042,0.0
20181111181541,train,4,0.4828,2018,2,39,43,44,1440,0.2014,0.0312,0.0,0.3236,0.0,0.0556,0.0604,0.0,0.0417,0.0208,0.0743,0.0,0.0,0.0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.1076,0.0104
20110112102329,train,4,0.4373,2011,2,36,40,35,1440,0.3646,0.0417,0.0,0.4021,0.0,0.0243,0.0521,0.0208,0.0,0.0035,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486,0.0069
20070201071490,train,4,0.5272,2007,2,18,37,40,1440,0.3146,0.0,0.0,0.1479,0.0,0.0833,0.0451,0.0,0.0,0.0417,0.0007,0.009,0.0,0.0069,0.0,0.0,0.0,0.125,0.0833,0.0,0.0,0.0,0.0,0.1389,0.0035
20160504161429,train,4,0.4817,2016,2,80,46,45,1440,0.3403,0.1257,0.0625,0.0382,0.0,0.0938,0.0139,0.0312,0.0104,0.1007,0.0,0.0,0.0,0.0312,0.0069,0.0035,0.0,0.0417,0.0,0.0,0.0,0.0312,0.0,0.0688,0.0
20160908162121,train,4,0.3366,2016,2,15,34,19,1440,0.2708,0.2292,0.0,0.0,0.0,0.0451,0.0049,0.0021,0.0,0.0625,0.0,0.0049,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.0
20080805080580,train,4,0.4328,2008,1,59,40,26,1440,0.3229,0.05,0.0,0.3368,0.0,0.0,0.0201,0.0,0.009,0.0479,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111,0.0
20040706040083,train,4,0.5235,2004,2,24,37,40,1440,0.4229,0.0,0.0,0.0,0.0,0.0139,0.059,0.0417,0.0431,0.0056,0.0667,0.0,0.0,0.1792,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.0021,0.0,0.1139,0.0
20061110062392,train,4,0.4541,2006,2,36,39,18,1440,0.375,0.0208,0.0,0.3368,0.0,0.0,0.0382,0.0,0.0208,0.0521,0.0104,0.0,0.0,0.0,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486,0.0
20050201050938,train,4,0.4149,2005,1,21,39,15,1440,0.2639,0.0833,0.0,0.2396,0.0,0.0417,0.0417,0.0,0.0,0.0,0.0,0.0,0.1944,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
20091110090854,train,4,0.5799,2009,2,54,39,51,1440,0.3187,0.0069,0.0,0.0,0.0,0.0069,0.0,0.2146,0.1111,0.0,0.1576,0.0,0.0,0.0069,0.0,0.0,0.0,0.0729,0.0,0.0,0.0,0.0,0.0,0.059,0.0451
